Id	class	plant	Centroid_Size	Log_Centroid_Size	Symm1	Symm2	Symm3	Symm4	Symm5	Symm6	Symm7	Symm8	Symm9	Symm10	Symm11	Symm12	Symm13	Symm14	Symm15	Symm16	Symm17	Symm18	Symm19	Symm20	Symm21	Symm22	Symm23	Symm24	Symm25	Symm26
01	Pen	01	17.254670814638555	2.8476857467290277	-0.45088427397901015	0.09235937724968628	-0.45088427397901015	-0.09235937724968628	-0.362204764280497	0.0	-0.08542201095246676	0.05994657092590211	-0.08542201095246675	-0.059946570925902117	0.15915767509879258	0.14379693342542035	0.1591576750987926	-0.14379693342542035	-0.03464998258690829	0.04926918418202228	-0.034649982586908296	-0.04926918418202228	0.2754158684347375	0.0	0.2491707666149069	0.06685504718344198	0.24917076661490686	-0.06685504718344198	0.41204454745513114	0.0
04	Hib	04	26.78294566588301	3.287373818225689	-0.40183971509184924	0.06656475062007794	-0.40183971509184924	-0.06656475062007794	-0.3261061682890917	0.0	-0.08412335321211988	0.049107858706362556	-0.08412335321211989	-0.049107858706362556	0.020776656314160397	0.11829273890762212	0.020776656314160397	-0.11829273890762212	-0.035963875437480385	0.03696210682833596	-0.03596387543748038	-0.03696210682833595	0.23328507946565774	0.0	0.27306445538376944	0.0795943518812387	0.27306445538376944	-0.0795943518812387	0.5489927529104732	0.0
05	Hib	05	26.671601582176773	3.2834362992510804	-0.4112988522556715	0.06326742617775433	-0.41129885225567153	-0.06326742617775433	-0.32213725234148294	0.0	-0.08677004177758738	0.05219620415878246	-0.08677004177758738	-0.05219620415878246	0.05699466841928841	0.14075962037281592	0.0569946684192884	-0.14075962037281592	-0.039730455965277356	0.035076412423239924	-0.039730455965277356	-0.035076412423239924	0.22032273305436317	0.0	0.26686239043708593	0.07134190887601374	0.26686239043708593	-0.07134190887601374	0.529699101571443	0.0
06	Lax	06	47.22132073201574	3.8548002036897233	-0.36693468163447285	0.04723877496161035	-0.36693468163447285	-0.04723877496161035	-0.3109385299605023	0.0	-0.09375973376873223	0.03586973786153916	-0.09375973376873223	-0.035869737861539144	-0.013289690076605049	0.09658930545960392	-0.013289690076605049	-0.0965893054596039	-0.05138195673772643	0.03258809724277306	-0.051381956737726414	-0.03258809724277306	0.14907357492991036	0.0	0.27969621997593686	0.0801340756805117	0.27969621997593686	-0.08013407568051167	0.6532046395137914	0.0
07	Lax	07	53.809205499004	3.98531132984342	-0.3420642593228457	0.044179861760265546	-0.3420642593228456	-0.044179861760265546	-0.28025610580003296	0.0	-0.10401927680305266	0.03702480858337218	-0.10401927680305266	-0.037024808583372176	-0.04674284691953897	0.09786332382709374	-0.04674284691953896	-0.09786332382709374	-0.06454222575481519	0.031958821847231186	-0.06454222575481519	-0.031958821847231186	0.13040204856575616	0.0	0.27326300808758985	0.08614320078571075	0.27326300808758985	-0.08614320078571076	0.7180652586596018	0.0
08	Lax	08	40.15765653008371	3.6925619961187666	-0.3566463859100731	0.05055198094657723	-0.3566463859100731	-0.05055198094657723	-0.29413321620071636	0.0	-0.09797414456810502	0.0345882894347459	-0.09797414456810502	-0.0345882894347459	-0.020331871682042334	0.12113834522567933	-0.02033187168204233	-0.12113834522567932	-0.0597293786658084	0.03039752889142042	-0.05972937866580841	-0.03039752889142042	0.18278006086197776	0.0	0.2510009544059514	0.06997774130481728	0.2510009544059514	-0.06997774130481728	0.6787148081788934	0.0
09	Hib	09	25.505317855487796	3.238014810189261	-0.39240422976793865	0.07436069833444171	-0.39240422976793865	-0.07436069833444171	-0.3275121476435294	0.0	-0.09581926072292786	0.06859736076643386	-0.09581926072292786	-0.06859736076643386	0.06184500856965806	0.14206680894418985	0.06184500856965806	-0.14206680894418985	-0.045090185016253226	0.04344608648520798	-0.04509018501625322	-0.04344608648520798	0.21468266644213596	0.0	0.2528710168034403	0.08648953252035636	0.2528710168034403	-0.08648953252035636	0.5500247814694357	0.0
10	Hib	10	37.747197263725624	3.630683653685793	-0.35185958625912606	0.056561663151669966	-0.35185958625912606	-0.05656166315166997	-0.286657154479967	0.0	-0.11641494418724463	0.03359781243020302	-0.11641494418724463	-0.03359781243020302	0.009124325952964737	0.1070436357653572	0.009124325952964737	-0.1070436357653572	-0.08085962111946737	0.034526736170634426	-0.08085962111946739	-0.034526736170634426	0.15287246781596003	0.0	0.273907961154398	0.0742199568103354	0.273907961154398	-0.0742199568103354	0.6659884155809574	0.0
11	Hib	11	25.643344745462137	3.244268251412331	-0.4070090869890878	0.07221357900370232	-0.4070090869890877	-0.07221357900370232	-0.31647731281447933	0.0	-0.07807862624567738	0.060541157873356635	-0.07807862624567737	-0.06054115787335664	0.028162158968370123	0.1265958334493203	0.028162158968370127	-0.1265958334493203	-0.04363683527393028	0.04107622168140547	-0.04363683527393028	-0.04107622168140547	0.23035592618826747	0.0	0.27415482802571534	0.07569400159399624	0.2741548280257154	-0.07569400159399622	0.5389365096554313	0.0
12	Lax	12	48.58795870865292	3.8832911870535476	-0.3402802489228798	0.04710630103559771	-0.34028024892287967	-0.04710630103559771	-0.2804426686021284	0.0	-0.11054874692030595	0.035101059301025465	-0.11054874692030595	-0.035101059301025465	-0.020956799676133453	0.0916920189176104	-0.020956799676133456	-0.09169201891761039	-0.0727396050967188	0.031129573273357303	-0.0727396050967188	-0.031129573273357303	0.13817331061994245	0.0	0.2536123079257431	0.09838235079738936	0.2536123079257431	-0.09838235079738936	0.7240955433627756	0.0
