Id	class	plant	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
01	Pen	01	-0.24544412826129228	0.026356612809115783	0.0312111409922998	-0.023241900283251696	0.002140655623581674	-0.013118703549384894	-0.0020630904899225037	0.0011478921020925395	-2.0709305339929214E-4	-0.0022236758928018165	-0.0018523976131132117
04	Hib	04	0.01026224723268269	0.08610172036214545	0.021126191410761587	-0.0062046524027647015	-5.83561974565331E-4	-0.0023446531781694405	0.004157469086888462	0.002302866925153564	-0.005115068238606779	-0.006402462270475504	0.0038702544330576705
05	Hib	05	-0.03797421143137817	0.0512317029134327	0.006597573724889906	4.3688805275774074E-4	-0.012667593589963808	-0.024872190026424004	0.008173675466964684	-0.007347525546020813	0.0025564960102562135	3.017980041449533E-4	0.00651509192144927
06	Lax	06	0.15617249882307538	0.0373686694999487	0.04782059432571047	0.008115866692329401	-0.021533396473728865	-0.026731142619341036	-2.532989925403905E-4	0.0044920601236049075	-0.004700172206175796	0.002437472348724549	-0.0030930571455161935
07	Lax	07	0.24739527972670572	0.015211625640299771	0.025821217099598212	0.013898700495050882	-0.013635713660122058	-0.012193632029790747	0.0012576340298170651	8.929446321175229E-4	0.004295554791678623	0.005424375875793533	-0.002189664766327401
08	Lax	08	0.16975331939861948	0.021066367248971964	-0.007323412823241569	-0.008557380609836018	0.020849424751867376	-0.025778533763247624	2.0182655797107256E-5	0.0017443179632774851	0.0012766822382502731	-0.0022361397388273464	0.0010179515971629296
09	Hib	09	-0.02359145270852573	0.01891675355367916	-0.002487811011288958	-0.01083370131758073	-0.014906159586759666	0.007004455592690625	-0.0159373888055741	-0.015472599443212123	-0.006397364803050635	0.003189104064091113	0.0024538326132121867
10	Hib	10	0.15262367415071126	-0.020217079484699335	0.030834552566830403	0.03716079017744195	0.005388114481760428	-0.01486107895546257	-5.561447321748088E-4	0.01049707633600588	0.008002231386705087	-0.0010235114047584086	-0.004624071034834277
11	Hib	11	-0.006676204238463192	0.08164771203150857	0.014422127134811271	8.205148200590906E-4	-0.004119785532458602	3.716007857701253E-4	2.3323046337765858E-4	-0.014035273155825471	0.013868392598758803	-0.0067875408608122564	-7.985664388930017E-4
12	Lax	12	0.23048871808717786	-0.025034166819015023	0.030858396530993048	-0.006406188257857798	-0.004791616429014194	0.0023256438120463387	0.007574982354549573	0.006742709565228171	-0.0011527923815927155	-0.0037635410474889334	2.9075447837772654E-4
