Id	class	plant	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
32	Lax	32	0.25910554728032675	-0.07055061696453753	0.013189070301237883	-0.04299186294245523	-0.0017437654394709748	-0.01002637701030686	-0.006143723652274049	-0.0046673416789588	0.004253952124555503	0.004028946921589038	-0.004153201869582416
33	Pen	33	-0.29307853139661094	-0.0621991212078208	-0.012550283579848328	-0.007475700728534526	-0.006331323065052057	-0.016938807002273865	0.00683478644019576	0.006413692376478717	0.00851551871050053	-0.004176394354763883	-0.0024727961152024953
34	Pen	34	-0.21975602666101784	0.026095013897186763	0.004480120331907872	-0.006314563577611669	-0.026120888448796988	0.021608660087516184	-0.007103493732325158	-0.00438263354438482	0.005857039314122573	0.005302393603523876	2.759743399924164E-4
35	Pen	35	-0.21295989638483026	-0.05749677404126775	-0.032319951689096627	0.03326222851836972	-0.016777784237233032	0.005989886716696742	0.004200209180450631	-0.013797465721139976	-0.0036050304943222857	1.2066890934215799E-4	-0.005669257613010801
36	Hib	36	-0.08941501441595896	0.06722853161766498	0.006489530064836735	0.021854867614464285	-0.0124524409710932	-0.001108150653555121	-0.01540148264304235	-0.0035497514242026893	0.0017693258232728548	-0.001263888297488385	0.0019120260142591928
37	Pen	37	-0.2110889245502044	0.019284839193421933	-0.04398880624139366	-0.004940881154711356	-0.011207563033945515	-0.006362160828758444	-0.0038579576981406525	0.008613512262541236	0.0026411644756339043	-0.011453714902972607	0.0012146278459872777
38	Lax	38	0.19338372727100422	0.013144459060054098	0.025348194224085786	0.015624042636675946	0.009467454369814098	0.003943272319321402	-0.011732404519593323	0.0014961542669453811	-0.010174768592598964	-0.0019811962898042467	0.002305833855096706
39	Hib	39	0.10869551095701857	0.0015592117278674447	-0.022305467788250592	0.00285871134622849	-0.0150439858013826	7.829995612661468E-4	-0.014494364659524035	-0.014760895823790216	-0.0016160190212912958	0.006384586040237601	0.003980915103757041
40	Pen	40	-0.2666776172728446	-0.061133463010811344	0.040004351640542515	-0.008477700632757303	0.022840211488112994	0.026073610901923457	0.006998554639219067	-0.006283962307319665	-6.571854469364698E-4	-0.004119283440213165	-2.9995057490290436E-4
41	Hib	41	0.04101929436665932	-0.09521258593528663	-0.053297249200053465	-0.023492698669503147	0.023382673974369446	-0.008638775987951175	0.010625584916128803	-0.011431622392603178	-0.006792456007689742	0.004723880885046624	0.001653265723099417
42	Pen	42	-0.2615194151420921	-0.1354811311430011	0.07087599882855328	0.012177971890436595	-0.0013977823434439367	0.02540001626998313	-0.002195398495685148	-0.0010593840123460955	5.202294700799798E-4	0.005445887081754605	0.002328998536567891
43	Pen	43	-0.30260105841706675	-0.08362747091862673	-0.0559076009543774	0.004317472072477596	-0.01591574890641724	-0.03704984447366163	-0.0032777452114578524	8.112715485678653E-5	-0.004853102424835638	-0.006231784015398029	0.0016990871788034653
44	Pen	44	-0.23431972940500662	-0.025008885970257744	0.07329277551770808	-0.0036614459393068746	0.008559272670657005	0.002056645294944783	-0.004883462630673282	0.00960542067498344	-0.002277869294718406	0.002978848508784139	-3.629517330248963E-4
46	Pen	46	-0.1769512377267562	0.060419240328952094	-0.008497134987672903	0.007912281675781504	0.013821507926781482	0.009993162551573611	-0.01791239907570353	0.012529209564232438	0.0010190233237422118	0.005927195760532321	-0.0012631588492190238
47	Hib	47	-0.009689664572557563	-0.018299970066073083	0.005192161869005296	0.02826096497997554	-0.0031890952716292238	-0.009986136914516523	-0.009106195321904613	-5.151429556336513E-4	0.002932956572153091	2.4561349876771907E-5	0.0027912837063173708
48	Hib	48	-0.032853882709523635	0.08119128134587075	0.012287691736883714	0.0036627043734999507	0.002706362206752565	0.004521876824757824	-0.013782863980479884	-0.0021336725387330266	-0.008130076899248797	-0.0032467886908501224	-3.649857528439783E-4
49	Hib	49	0.05899116091281645	-0.03537643853484639	0.006396288558725195	0.03073961672450532	0.019766046988052996	-0.019470397637051627	0.01640979328776736	-0.003462311795218837	5.793713934473025E-4	0.008469822478133642	0.0037420533048283405
50	Pen	50	-0.22462397098282094	-0.038666748417013334	-0.006324597568378677	0.01942230295448238	-0.012500043219130688	-0.01512700496150839	0.018783763627381274	0.007116711025369535	-0.009084544495993765	0.0013459300482005707	-0.004919742718473603
51	Hib	51	0.0656222620073898	0.13662345905698503	0.009432673366279067	-0.011108374046655215	-0.013367267214232894	0.01712760058105814	0.014677512880741305	-0.003548231911778705	3.177169526563168E-5	0.008661041262401982	-0.0017545710080094426
52	Pen	52	-0.2304278139835479	-0.02160775388080062	0.004464895130453941	-0.015787525740735782	-0.013812314637165535	0.01917053437807869	0.00833052066469347	-0.022373930679171906	-8.124068706620033E-4	-0.0016954659866512808	-0.004252428104832201
53	Pen	53	-0.23958311248037725	-0.05177159484185787	0.03286448623825912	-0.015607446712736589	0.003685852374784363	-0.002059210496152833	-0.013747097266571865	0.009427214060048475	-7.593303932868518E-4	0.0014631986935313545	0.002883541823832854
54	Pen	54	-0.22507189221912818	0.03335720290168588	-0.06696266927275091	0.004791340403672219	0.007184323578889824	0.00490858705057904	-0.0027528034913847843	6.84855274253408E-4	0.011455326800159826	0.005732492531270067	0.0010412900531097666
55	Lax	55	0.22397139668888555	-0.028337364986390248	0.01877039264139929	0.006258839988299986	7.139544556034327E-4	0.009024798229748844	-0.0025281897229853323	0.0067230329871425755	-0.0045421047723488775	-0.005069198729645719	-0.004007299098306839
56	Lax	56	0.23498773907552423	-0.13429774628278696	-0.011453698627510221	-0.025411864519487203	0.009683748660621262	-0.010324137365627433	-2.3043137085330088E-4	-0.0014241263459886374	0.005501358582280141	0.002959087561049765	-0.0011939693689913516
57	Pen	57	-0.21797018833969087	0.03462715259375256	-0.004774226159292034	-0.02328877850944655	0.013580812147744821	0.0018088040331575312	0.005245034501275475	0.012910593640089712	0.004659029107889958	0.004572813417967971	0.001019977803841514
58	Pen	58	-0.1995155972443343	0.08041209258156243	-0.004200052935219233	-0.03347840478173489	-0.011213604529143986	-0.006971543533865705	0.014252991716126474	9.779104985626194E-4	-0.001499206756306254	-6.988729633720658E-4	7.289298387193864E-5
59	Lax	59	0.20307010479275178	-0.08421992274654302	4.983633914807115E-4	-0.030938174810267775	-0.060558727317332875	0.01362474003868918	0.011139790803855912	0.011328086997405808	-0.009253305816123176	0.002605523048193419	0.004507820522627758
60	Pen	60	-0.23993097377511052	-0.0034345734943303577	0.010003524658959453	-0.035241190725109124	0.0076204493095094715	-0.0017367618513198495	-0.004068503621498487	0.004656288579997827	0.0026429510987463073	-0.009763209944174012	-0.0019327232607551405
61	Pen	61	-0.15862445555154475	0.14588711124735826	-0.05295850103060499	-0.006703178918832618	0.007254485942690941	0.011873763802759306	0.013559389435151377	0.0013420338602464464	-0.007320197455037172	0.0021718990484986666	-0.006229095650623341
62	Hib	62	-0.17279739641558417	-0.035761521792574705	-0.009285555093368142	0.02043121862785323	0.0028380075145302344	-0.01698917312086818	-0.001396940999170457	-0.006672499963177106	-0.008430030602200756	-0.005620288936423457	7.204875774448997E-4
63	Pen	63	-0.21656248200175526	0.007505656456489748	-0.005281390332832885	0.009502385192111537	-0.00898470682692376	0.0013764012547892637	-0.012323791616355892	-2.40981519838597E-4	0.006479383602256228	-0.00199359391569615	0.0014448659914845442
64	Lax	64	0.2682428512086654	-0.045729895147274276	-0.03656809867140378	-0.05111074554990642	0.007796247702042614	0.01250976695235835	-0.006609588428808626	0.0010884889387316847	0.0029930709220559537	0.0023747611793412567	-0.0010072722290356143
65	Pen	65	-0.3151669560293882	-0.08794748964371062	0.03638388627476785	-0.010733289460497779	0.0033324009352244735	3.188362787004441E-4	0.004906646962692798	0.0038055265259574096	0.003980141118484994	0.01275876889959405	-8.407152216378961E-4
67	Lax	67	0.24365306972520043	-0.04723406792453151	-0.06048873634049452	-0.0013924609426812645	-0.003629327244147943	0.005482018428172242	0.0034269891304133833	0.003369920890666505	0.006847240581693158	0.002629131016812874	4.305063439547595E-4
