CIRCUITO	LONG	LAT	Padron	PYV	HPNP	UPP_MASSA	UPP_GRABOIS	F.LIBER.AR	MAV	P.OBRERA	P.JOVEN	JPC_BULLRICH	JPC_LARRETA	LLA	FPF	MAS	MIJD	MLS	FITU_BREGMAN	FITU_SOLANO	UCD
0014A	-64.2531307755	-31.3316296164	20043	52	5995	507	156	23	17	8	18	967	375	3652	17	28	22	35	80	214	0
0014B	-64.2702021035	-31.3397373938	7081	33	1124	342	213	5	3	1	8	1405	439	1475	2	4	3	4	71	18	0
0014C	-64.2911909326	-31.3359658169	5239	23	758	257	227	1	8	2	3	1123	355	1049	3	6	2	4	54	23	0
0014D	-64.2357068191	-31.3717014713	5969	16	494	248	130	2	4	1	3	1842	469	755	5	3	2	1	44	6	0
0014E	-64.2703243397	-31.3213046782	6713	25	1449	184	112	8	16	1	14	787	213	1628	3	8	6	6	56	14	1
0014F	-64.250977894	-31.340513729	6855	26	1129	235	156	2	0	1	9	1352	376	1446	2	6	0	6	54	34	0
0014G	-64.225307263	-31.3373859715	9906	42	2348	360	137	3	10	8	8	1256	412	2256	9	6	7	19	70	76	0
0014H	-64.2533975827	-31.3178965355	6078	19	1731	137	91	8	5	2	9	492	140	1595	29	4	1	20	38	30	0
0014I	-64.2321412316	-31.3543044441	6184	24	955	276	179	2	7	2	7	1418	396	1394	0	10	3	4	61	39	0
0014J	-64.2408688039	-31.3827384374	7581	19	977	303	167	1	4	2	2	2303	598	1142	4	5	2	3	39	15	0
0014K	-64.2846863913	-31.3133146779	3683	12	832	138	50	1	4	2	3	438	120	946	2	11	1	5	32	13	0
0014L	-64.252435321	-31.3607729576	4995	16	598	220	146	4	1	3	4	1512	360	740	1	3	0	1	26	17	0
0014M	-64.2299449165	-31.3641413504	9031	34	881	386	233	3	6	1	3	2494	686	1486	2	6	9	8	77	29	0
0014N	-64.2703748746	-31.315681193	4378	11	1164	149	35	3	6	1	4	326	136	1146	4	1	16	5	33	21	1
0014O	-64.2759854327	-31.3296966174	8159	23	1971	255	104	12	9	0	11	741	262	2003	12	7	7	8	56	37	0
0014P	-64.2926821604	-31.3249415446	3669	24	693	222	167	1	3	1	2	565	178	759	6	2	3	5	47	19	0
0014Q	-64.2996720727	-31.3377721325	1419	2	171	49	49	0	0	0	1	384	111	255	1	4	0	1	11	4	0

